;__label__FIN#positive;"Thị trường tăng ""nóng"", hàng loạt doanh nghiệp đăng ký bán cổ phiếu quỹ, Vinhomes và Sacombank cũng nhập cuộc"
397;__label__FIN#negative;Nhiều Công ty chứng khoán thận trọng, khuyến nghị nhà đầu tư hạ tỷ trọng cổ phiếu
398;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 8 doanh nghiệp
399;__label__FIN#neutral;VIB, LPB, DLG, DXG, TVB, BVH, OPC, BDT, BIO, HAP: Thông tin giao dịch lượng lớn cổ phiếu
400;__label__FIN#positive;Tăng “phi mã” từ đầu năm, Tổng Giám đốc MBS đăng ký bán toàn bộ 1 triệu cổ phiếu đang nắm giữ
401;__label__FIN#positive;Dragon Capital tiếp tục thoái hơn 10 triệu cổ phiếu Đất Xanh (DXG)
402;__label__FIN#positive;ĐHĐCĐ Chứng khoán SHS: Ước lãi 6 tháng đầu năm trên 600 tỷ đồng, hoàn thành 80% kế hoạch năm, dư nợ margin tăng 30% so với cuối quý 1
403;__label__FIN#positive;Một lãnh đạo của Đức Long Gia Lai đăng ký mua 10 triệu cổ phiếu DLG
404;__label__FIN#positive;Đại lý Hàng hải Việt Nam (VSA) chốt quyền trả cổ tức bằng tiền tỷ lệ 30%
405;__label__FIN#positive;Chứng khoán KIS tăng vốn, tiếp tục tăng tốc cuộc đua tới top đầu thị trường vốn
406;__label__FIN#positive;Cước vận tải biển tăng phi mã, doanh nghiệp logistics và cảng biển hưởng lợi
407;__label__FIN#negative;Khối ngoại trở lại bán ròng hơn 100 tỷ đồng, 3 sàn “đỏ lửa” trong phiên 16/6
408;__label__FIN#negative;"Bất ngờ với cú sập giữa ""thời hoàng kim"" của cổ phiếu chứng khoán"
409;__label__FIN#negative;ĐHĐCĐ Cao su Phước Hòa (PHR): Ông Mai Hữu Tín ứng cử vị trí Thành viên HĐQT độc lập, dự thu 691 tỷ đồng bồi thường VSIP III trong năm 2021
410;__label__FIN#positive;UBND tỉnh Đồng Tháp thoái vốn, Vinaconex và 1 cá nhân trở thành cổ đông lớn mới của Dongthap BMC (BDT)
411;__label__FIN#positive;Cổ phiếu cao su thiên nhiên ‘âm thầm’ tăng giá
412;__label__FIN#positive;Agriseco: “Lạm phát tăng chưa chắc khiến chứng khoán giảm, Việt Nam đang ở trong giai đoạn tối ưu”
413;__label__FIN#positive;PVGas (GAS) chốt danh sách cổ đông chi hơn 5.700 tỷ đồng trả cổ tức năm 2020 tỷ lệ 30%
414;__label__FIN#positive;Nhóm VN30 giảm sâu ngay trước kỳ đáo hạn phái sinh, VnIndex mất 10 điểm cuối phiên
415;__label__FIN#positive;ICD Tân Cảng - Long Bình (ILB) sắp chi 37 tỷ đồng trả cổ tức tỷ lệ 15%
416;__label__FIN#negative;"Cổ đông Điện lực Khánh Hòa (KHP) ""mừng hụt"": Sắp đến ngày nhận cổ tức bỗng nhận tin bị hủy"
417;__label__FIN#positive;Gilimex (GIL): Xác định chuỗi khu công nghiệp là chiến lược từ năm 2021, tiếp tục rót 180 tỷ đồng cho dự án tại Vĩnh Long
418;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 16/6
419;__label__FIN#positive;Saigon Cargo Service (SCS) chốt danh sách cổ đông trả cổ tức còn lại năm 2020 bằng tiền tỷ lệ 50%
420;__label__FIN#neutral;DXG, VDS, TCO, TVB, IMP, VE1, SSG, TMS, HAH, ELC, MAC, FGL, LMC: Thông tin giao dịch lượng lớn cổ phiếu
421;__label__FIN#positive;Đất Xanh (DXG): Dragon Capital đã bán ra hơn 5 triệu cổ phần, giảm sở hữu xuống còn 14,8% vốn
422;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 10 doanh nghiệp
423;__label__FIN#positive;Vinaconex góp thêm 1.200 tỷ tại hai công ty con, đồng thời thoái vốn hoàn toàn tại Vina-Sanwa
424;__label__FIN#positive;Ngành dược hấp dẫn nhà đầu tư ngoại, sôi động hoạt động M&A
425;__label__FIN#positive;Một cá nhân vừa chi khoảng 350 tỷ đồng mua vào 17 triệu cổ phần tại Chứng khoán Rồng Việt
426;__label__FIN#positive;Năm Bảy Bảy (NBB) dự chi hơn 125 tỷ đồng trả cổ tức đợt 1 năm 2020
427;__label__FIN#positive;Công ty nuôi heo trả cổ tức bằng tiền mặt xấp xỉ 123%
428;__label__FIN#negative;"""Bão giá"" vật liệu xây dựng, Giấy Hoàng Hà Hải Phòng (HHP) lên kế hoạch chuyển dự án nghìn tỷ sang năm 2022"
429;__label__FIN#positive;Phiên 15/6: Khối ngoại mua ròng hơn 100 tỷ đồng, tập trung “gom” nhóm VinGroup
430;__label__FIN#positive;FPT lãi trước thuế 5 tháng đạt 2.428 tỷ đồng, tăng trưởng 22% so với cùng kỳ 2020
431;__label__FIN#positive;ĐHĐCĐ PVTrans (PVT): Giá dầu tăng không tác động đáng kể đến chỉ số kinh doanh, 6 tháng ước đạt 420 tỷ LNTT
432;__label__FIN#positive;Doanh nghiệp sản xuất bao cao su duy nhất trên sàn sắp chia cổ tức, cổ phiếu thưởng tổng tỷ lệ 85%
433;__label__FIN#neutral;Chứng khoán SHS muốn chào báo gần 104 triệu cổ phiếu cho cổ đông với mức giá 13.500 đồng/cp
434;__label__FIN#neutral;VN30 sẽ thêm mới ACB, GVR, loại SBT và TCH trong kỳ review tháng 7?
435;__label__FIN#negative;"Kinh doanh giảm sút, ""mì tôm"" Miliket giảm cổ tức năm 2020 xuống còn 28%"
436;__label__FIN#positive;Chốt lời cổ phiếu ngân hàng, VN-Index vẫn tăng gần 6 điểm nhờ lực kéo từ nhóm VinGroup và Khu công nghiệp
437;__label__FIN#neutral;UBND tỉnh Đồng Tháp bán bớt 16 triệu cổ phần tại DongThap BMC (BDT), thu về gần 450 tỷ đồng
438;__label__FIN#positive;Dược phẩm Imexpharm (IMP): SK Investment đã mua 3,5 triệu cổ phần, nâng tổng sở hữu lên hơn 29% vốn
439;__label__FIN#neutral;HBC, SSI, SPI, POM, DLG, DBT, SRF, THS, HAH, IMP, DPC, KDM, TMS: Thông tin giao dịch lượng lớn cổ phiếu
440;__label__FIN#neutral;Chứng khoán APG đẩy nhanh quá trình tái cấu trúc
441;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 15/6
442;__label__FIN#negative;BVSC: “Việt Nam khó có thể được nâng hạng Emerging Markets trong tháng 6, còn nhiều vấn đề cần giải quyết”
443;__label__FIN#positive;Nam Tân Uyên (NTC) đặt kế hoạch cho thuê 90 ha NTU3 và triển khai khu dân cư Uyên Hưng, chi trả 240 tỷ đồng cổ tức cho năm 2020
444;__label__FIN#neutral;Chứng khoán VPS bất ngờ thu phí dịch vụ hệ thống hàng tháng sau khi vươn lên vị trí số 1 về thị phần môi giới
445;__label__FIN#negative;Nhà Thủ Đức (TDH) chuẩn bị thoái toàn bộ vốn tại Chứng khoán Sen Vàng
446;__label__FIN#negative;Nội bộ Damsan (ADS) đồng loạt thoái vốn trước thềm chia cổ tức năm 2020
447;__label__FIN#negative;Phiên 14/6: Khối ngoại trở lại bán ròng, tập trung “xả” chứng chỉ quỹ ETF
448;__label__FIN#positive;Vinaseed (NSC) sắp chi trả cổ tức bằng tiền mặt đợt 1/2020 với tỷ lệ 20%
449;__label__FIN#positive;Nhà Khang Điền (KDH) sắp huy động 400 tỷ từ trái phiếu
450;__label__FIN#neutral;Chủ tịch FPT IS: Đã hoàn thành 80% hệ thống khớp lệnh mới
451;__label__FIN#neutral;Danh mục đầu tư quý II của V.N.M ETF: Tại sao APH được lựa chọn?
452;__label__FIN#positive;"Platinum Victory tiếp tục đăng ký ""gom"" 13 triệu cổ phiếu REE"
453;__label__FIN#positive;Cú bear trap khiến nhiều nhà đầu tư lỡ tay bán cổ phiếu, HNX30-Index vượt 500 điểm
454;__label__FIN#neutral;Tiêu điểm xử phạt tuần qua: Rất nhiều cá nhân bị UBCKNN phạt
455;__label__FIN#neutral;Cổ đông lớn Nam Thịnh quyết tâm thoái toàn bộ vốn tại CC1 sau 3 lần không thành công
456;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 14/6
457;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 10 doanh nghiệp
458;__label__FIN#positive;Chứng khoán APG tăng vốn gấp hơn 2 lần, bổ sung nguồn cho tự doanh và cho vay margin
459;__label__FIN#neutral;"Miệt mài bán ròng 31.000 tỷ đồng từ đầu năm, khối ngoại tập trung ""xả"" cổ phiếu nào?"
460;__label__FIN#neutral;Digiworld (DGW): Loạt lãnh đạo chuyển nhượng cổ phần với tổng giá trị 950 tỷ đồng để thành lập công ty mới
461;__label__FIN#neutral;Hai quỹ ETF với tổng quy mô gần 1 tỷ USD sẽ cơ cấu ra sao trong tuần 14-18/6?
462;__label__FIN#neutral;Tuần 14-18/6: Tâm điểm cuộc họp chính sách FED và hoạt động cơ cấu ETFs, VN-Index tiếp tục xu hướng giằng co?
463;__label__FIN#neutral;Xu thế dòng tiền: Bắt đáy cổ phiếu ngân hàng, điều chỉnh đã xong?
464;__label__FIN#positive;Gia nhập cuộc đua, chứng khoán MBKE chuẩn bị tăng vốn lên 1.745 tỷ đồng
465;__label__FIN#neutral;Điểm danh những doanh nghiệp chốt quyền nhận cổ tức bằng tiền, bằng cổ phiếu và cổ phiếu thưởng tuần từ 14/6-18/6
466;__label__FIN#negative;Vốn hóa Việt An giảm 30% khi lãnh đạo bị bắt tạm giam
467;__label__FIN#positive;VDSC: Mảng thép cán nóng tiếp tục duy trì mức sinh lời cao, Hoà Phát (HPG) có thể đạt 10.200 tỷ lợi nhuận trong quý 2/2021
468;__label__FIN#neutral;Đừng để cổ tức thành “tức cổ”
469;__label__FIN#positive;"FiinGroup ""bắt mạch"" sức nóng cổ phiếu ngành chứng khoán, lưu ý rủi ro từ cuộc đua tăng vốn của doanh nghiệp"
470;__label__FIN#negative;Thép Nam Kim (NKG) đăng ký bán toàn bộ 10 triệu cổ phiếu quỹ
471;__label__FIN#negative;Khối ngoại bán ròng tuần thứ 6 liên tiếp, nhưng giá trị giảm còn 730 tỷ đồng
472;__label__FIN#positive;Hoàng Anh Gia Lai (HAGL) muốn đầu tư 5.000 tỷ trồng rừng, xây nhà máy điện, chế biến gỗ tại Kon Tum
473;__label__FIN#neutral;VNM ETF thêm mới 6 cổ phiếu PDR, STB, VCI, APH, HSG và HNG trong kỳ review quý 2/2021
474;__label__FIN#positive;Bộ trưởng Hồ Đức Phớc: Tháng 7 sẽ hết nghẽn lệnh trên HOSE
475;__label__FIN#positive;Vĩnh Hoàn (VHC): Doanh thu tháng 5 tăng 35% lên 743 tỷ đồng, xuất khẩu sang Mỹ tăng mạnh 188%
476;__label__FIN#positive;HAGL (HAG) đã thanh toán trước hạn toàn bộ 930 tỷ nợ tại HDBank
477;__label__FIN#positive;Đất Xanh (DXG): Điều chỉnh phương án phát hành, cổ phiếu lập tức kịch trần
478;__label__FIN#neutral;Fiin Group đánh giá tích cực triển vọng ngành BĐS nhà ở, định giá ngành Dầu khí không còn rẻ
479;__label__FIN#positive;Cổ phiếu gấp 5 lần trong vòng 1 năm đưa tài sản Chủ tịch Phát Đạt vượt 1 tỷ USD dù không phải cái tên đình đám ngành địa ốc
480;__label__FIN#neutral;Tỷ phú Stanley Druckenmiller: Chính sách tiền tệ của Fed khiến nhà đầu tư chìm trong cảm giác an toàn giả tạo!
481;__label__FIN#positive;Đông Á Hotel (DAH) thông qua phương án chào bán riêng lẻ 50 triệu cổ phiếu, tăng vốn điều lệ lên gấp rưỡi
482;__label__FIN#neutral;FiinGroup: Cổ phiếu ngân hàng không còn nhiều hấp dẫn, dư địa tăng giá cho nhóm Bảo hiểm, BĐS và Bán lẻ
483;__label__FIN#positive;Chứng khoán Pinetree vừa bổ sung 20 triệu USD vốn vay từ Woori bank
484;__label__FIN#neutral;Giá bán phân bón tăng mạnh, cơ hội bứt phá cho Đạm Cà Mau?
485;__label__FIN#positive;Phiên 11/6: Khối ngoại trở lại mua ròng gần 650 tỷ đồng, VN-Index bứt phá vượt mốc 1.350 điểm
486;__label__FIN#positive;"Thị giá ""3 con số"", Thaiholdings (THD) lên kế hoạch phát hành 330 triệu cổ phiếu tăng vốn với mức giá vỏn vẹn 10.000 đồng/cp"
487;__label__FIN#neutral;Hoà Phát (HPG): Chốt ngày lấy ý kiến cổ đông liên quan đến việc con trai Chủ tịch Trần Đình Long muốn mua thêm 5 triệu cổ phần
488;__label__FIN#negative;Xây dựng Hòa Bình (HBC): Sẽ thoái vốn tại một số dự án bất động sản trong nước để thu hồi vốn
489;__label__FIN#positive;Bamboo Capital (BCG) chuẩn bị chi trả cổ tức năm 2021 với tỷ lệ 10%
490;__label__FIN#positive;Viettel Construction (CTR) chốt ngày chia thưởng cổ phiếu và trả cổ tức bằng tiền cho cổ đông với tổng tỷ lệ 39,5%
491;__label__FIN#positive;Dòng tiền đổ mạnh vào cổ phiếu ngân hàng, chứng khoán, VN-Index bứt phá hơn 28 điểm, vượt mốc 1.350 trong phiên cuối tuần
492;__label__FIN#positive;Chứng khoán Thành Công (TCSC) sắp tăng gấp đôi vốn phục vụ cho vay margin
493;__label__FIN#positive;Cao su Đồng Phú (DPR) dự kiến phát hành cổ phiếu thưởng tăng vốn điều lệ tỷ lệ 100%
494;__label__FIN#positive;Cổ phiếu chạm đỉnh lịch sử, Dragon Capital chớp thời cơ thoái vốn tại Gelex
495;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 11/6
496;__label__FIN#positive;Dragon Capital: “Định giá cổ phiếu ngân hàng và TTCK Việt Nam vẫn rất hấp dẫn dù đã tăng mạnh”
497;__label__FIN#neutral;Nghẽn lệnh kéo dài, Bộ Tài chính chỉ đạo khẩn trương thanh tra HoSE
498;__label__FIN#positive;Bảo hiểm Quân đội (MIG) dự kiến phát hành 13 triệu cổ phiếu trả cổ tức
499;__label__FIN#positive;ADS ước lãi trước thuế quý 2-2021 tăng 534% so với cùng kỳ
500;__label__FIN#positive;Công đoàn Rạng Đông, cổ đông độc nhất vô nhị trên TTCK: Sở hữu hơn 40% công ty và ẩn số trước đợt tăng vốn
501;__label__FIN#neutral;VNM, DQC, NLG, GEX, FDC, CKG, SRF, CQN, APS, SPI: Thông tin giao dịch lượng lớn cổ phiếu
502;__label__FIN#positive;DIC Corp (DIG) triển khai phương án phát hành 15 triệu cổ phiếu ESOP
503;__label__FIN#negative;Công ty liên quan đến khoản nợ 107 tỷ đồng của PV Drilling (PVD) nộp đơn xin phá sản
504;__label__FIN#positive;Cổ phiếu ngành than dậy sóng
505;__label__FIN#neutral;HoSE đề nghị các Công ty chứng khoán phối hợp quản lý sửa/hủy lệnh theo khung giờ
506;__label__FIN#positive;Hodeco (HDC) chốt danh sách cổ đông phát hành gần 17 triệu cổ phiếu trả cổ tức tỷ lệ 25%
507;__label__FIN#positive;Gemadept trình chia cổ tức tỷ lệ 12% năm 2020, kế hoạch lãi 2021 tăng tối thiểu 23%
508;__label__FIN#positive;Chứng khoán biến động dữ dội, thanh khoản thị trường phái sinh lập kỷ lục trong phiên 10/6
509;__label__FIN#positive;Tận dụng cơ hội tăng mạnh, quỹ ngoại quy mô 160 triệu USD tranh thủ chốt lời cổ phiếu ngân hàng
510;__label__FIN#positive;Phiên 10/6: Khối ngoại trở lại mua ròng gần 210 tỷ đồng, bất ngờ “gom” HPG
511;__label__FIN#neutral;AAA  sẽ có gì trong trung và dài hạn?
512;__label__FIN#positive;Vinaconex lên kế hoạch huy động 2.200 tỷ trái phiếu, bổ sung vốn cho Cát Bà Amatina
513;__label__FIN#negative;"Mark Mobius: ""Thị trường đang ở trong giai đoạn không chắc chắn, cần theo dõi chặt chẽ động thái của các ngân hàng trung ương"""
514;__label__FIN#neutral;Ông Vũ Bằng: 'Hệ thống cũng như con người, phải có lúc ốm đau'
515;__label__FIN#positive;Viettel Post (VTP) chốt danh sách cổ đông phát hành hơn 20 triệu cổ phiếu trả cổ tức
516;__label__FIN#positive;Quốc tế Sơn Hà (SHI) thông qua phương án phát hành hơn 9 triệu cổ phiếu trả cổ tức
517;__label__FIN#positive;"Chốt lời đúng đỉnh, Phó Tổng Đất Xanh (DXG) thoát hai phiên ""nằm sàn"" của cổ phiếu"
518;__label__FIN#negative;Đầu tư Sài Gòn VRG (SIP) đặt kế hoạch lợi nhuận năm 2021 giảm 53% so với thực hiện năm trước
519;__label__FIN#positive;ANV tăng mạnh, lãnh đạo công ty Nam Việt (Navico) đăng ký bán bớt 5 triệu cổ phiếu
520;__label__FIN#positive;Công ty logistics hàng không SCSC tăng trưởng 25% lợi nhuận sau 5 tháng, chia cổ tức 2020 tỷ lệ 80%
521;__label__FIN#negative;VNM, HPG tăng mạnh nhưng không chống đỡ được áp lực chốt lãi của thị trường, VnIndex giảm 9 điểm cuối phiên
522;__label__FIN#positive;Đạt Phương (DPG) triển khai phương án phát hành 18 triệu cổ phiếu thưởng, tỷ lệ 40%
523;__label__FIN#positive;MSB phát hành 18 triệu cổ phiếu ESOP giá 10.000 đồng
524;__label__FIN#positive;Agriseco (AGR) muốn bán 800.000 cổ phiếu quỹ với giá 13.500 đồng/cp
525;__label__FIN#positive;Đất Xanh (DXG): Phó Tổng giám đốc đã bán ra cổ phiếu ngay trước chuỗi ngày giảm mạnh
526;__label__FIN#neutral;PVI, VIB, NLG, DXG, LHC, ST8, TIX, BWE, ANV, ELC, PET, CIG: Thông tin giao dịch lượng lớn cổ phiếu
527;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 9 doanh nghiệp
528;__label__FIN#neutral;Hanel: Đối tác Cuba chưa thanh toán khoản công nợ 25 triệu USD trong gần 3 năm qua
529;__label__FIN#neutral;HoSE kết nối thử nghiệm hệ thống KRX từ 14/6
530;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 10/6
531;__label__FIN#neutral;Digiworld (DGW): Quỹ Phần Lan Evil bán ra cổ phiếu, không còn là cổ đông lớn
532;__label__FIN#neutral;Công ty chứng khoán mở lại tính năng hủy/sửa lệnh trên HoSE
533;__label__FIN#negative;HDI Global SE muốn bán bớt gần 14 triệu cổ phiếu PVI
534;__label__FIN#negative;Nhà đầu tư dần thận trọng với “game” phát hành tăng vốn
535;__label__FIN#negative;Bất chấp thị trường hồi phục, khối ngoại vẫn bán ròng gần 650 tỷ đồng trong phiên 9/6
536;__label__FIN#negative;Tanimex (TIX) muốn thoái vốn tại hai công ty thành viên
537;__label__FIN#positive;TNS Holdings sắp phát hành 10,5 triệu cổ phiếu trả cố tức năm 2020
538;__label__FIN#neutral;HSBC: Vì sao TTCK Bangladesh ở thời điểm hiện tại được ví như TTCK Việt Nam cách đây 5 năm?
539;__label__FIN#positive;Điện Gia Lai (GEG): Huy động tiếp 1.000 tỷ trái phiếu, tăng vốn cho điện gió Tiền Giang
540;__label__FIN#neutral;"Làn sóng bức xúc của nhà đầu tư chứng khoán lan rộng, HoSE phải hứng ""bão"" đánh giá 1 sao trên Google"
541;__label__FIN#positive;TS. Nguyễn Trí Hiếu: Thị trường chứng khoán sẽ tiếp tục tăng mạnh
542;__label__FIN#positive;TTC Land (SCR): Cổ phiếu tăng mạnh sau khi tái cấu trúc, quý 2/2021 ước lãi 172 tỷ đồng
543;__label__FIN#positive;'Vua da giày' sắp bỏ hàng trăm tỷ đồng tăng sở hữu tại Nam Long
544;__label__FIN#neutral;HOSE: Hệ thống giao dịch phối hợp cùng FPT sẽ hoàn thành đúng hạn
545;__label__FIN#positive;Chứng khoán ACB (ACBS) sắp được tăng vốn thêm 1.500 tỷ đồng
546;__label__FIN#positive;"HNX-Index bứt phá tăng mạnh mẽ 10 điểm khi sàn HoSE ""ngăn sông cấm chợ "" việc sửa/hủy lệnh"
547;__label__FIN#neutral;Định giá chứng khoán Việt Nam đã không còn rẻ?
548;__label__FIN#positive;Tập đoàn dệt may (Vinatex): Kế hoạch lợi nhuận tăng 18% lên 700 tỷ đồng, Trung Quốc dự là thị trường xuất khẩu lớn trong năm 2021
549;__label__FIN#neutral;Nhà đầu tư F0 cần làm gì sau 2 phiên TTCK lao dốc?
550;__label__FIN#positive;Thanglong Invest (TIG) thông qua phương án chào bán riêng lẻ 30 triệu cổ phiếu
551;__label__FIN#negative;Liên tục thoái vốn, Dragon Capital không còn là cổ đông lớn tại CII
552;__label__FIN#negative;"Cổ đông ngoại tại Viconship (VSC) ""xuống tàu"", thoái sạch 6,2 triệu cổ phiếu"
553;__label__FIN#neutral;Sau 2 phiên “đỏ lửa”, VN-Index sẽ hồi phục tại vùng 1.300 điểm?
554;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 9/6
555;__label__FIN#neutral;Hơn 55 triệu cổ phiếu HAP của Hapaco sẽ chuyển sang giao dịch sàn HNX từ ngày 17/6
556;__label__FIN#positive;SHS vừa vay 1.800 tỷ từ SHB để bổ sung nguồn
557;__label__FIN#neutral;VNM, SSI, NKG, CII, CC1, VSC, CDP, TIX, TID, LTC: Thông tin giao dịch lượng lớn cổ phiếu
558;__label__FIN#positive;Nam Long (NLG) chào bán 60 triệu cổ phần giá tối đa 37.800 đồng/cp, Gelex là 1 trong 2 nhà đầu tư mua vào lượng lớn
559;__label__FIN#neutral;Doanh nghiệp niêm yết sắp phá kỷ lục huy động vốn từ thị trường chứng khoán?
560;__label__FIN#positive;Chứng khoán Bản Việt (VCI) phát hành hơn 166 triệu cổ phiếu thưởng tỷ lệ 100%
561;__label__FIN#positive;Nhiều cổ phiếu tăng mạnh ngược dòng thị trường chứng khoán: Bất ngờ với một chứng quyền tăng 111% - đảo ngược thế thua!
562;__label__FIN#negative;Sau 2 phiên giảm sâu, vốn hóa HoSE đã “bốc hơi” hơn 200.000 tỷ đồng
563;__label__FIN#positive;Doanh nghiệp bán sắn trả cổ tức 50% bằng tiền mặt và 10% bằng cổ phiếu
564;__label__FIN#neutral;Novaland đàm phán chuyển nhượng dự án nào để có lãi 8.000 tỷ đồng?
565;__label__FIN#negative;Nhiều nhà đầu tư khóc ròng vì lao theo cổ phiếu dầu khí
566;__label__FIN#negative;Thị trường “đỏ lửa”, khối ngoại vẫn bán ròng gần 300 tỷ đồng trong phiên 8/6
567;__label__FIN#positive;Noibai Cargo (NCT) chia cổ tức đợt 3/2020 bằng tiền mặt tỷ lệ 15%
568;__label__FIN#negative;CC1 giảm mạnh, Công ty Tuấn Lộc vẫn quyết bán hết 21 triệu cổ phiếu, không còn là cổ đông lớn
569;__label__FIN#positive;Cao su Đồng Phú (DPR) lên kế hoạch thâu tóm Cao su Đồng Phú - Đắk Nông (DPD)
570;__label__FIN#neutral;VDSC: Lo ngại về nghẽn lệnh trên sàn HoSE, dự báo VN-Index dao động trong vùng 1.303 - 1.421 điểm trong tháng 6
571;__label__FIN#positive;Lãi lớn, Pyn Elite Fund hạ tỷ trọng VNDiamond ETF trong tháng 5
572;__label__FIN#neutral;Những doanh nghiệp chào bán gần 10 tỷ cổ phiếu trên TTCK
573;__label__FIN#positive;Một cổ phiếu tăng gần 241% sau nửa tháng
574;__label__FIN#positive;FPT Telecom (FOX) chốt danh sách cổ đông phát hành 55 triệu cổ phiếu trả cổ tức
575;__label__FIN#negative;Sacombank thoái sạch vốn tại doanh nghiệp sản xuất bao cao su
576;__label__FIN#negative;Nhà đầu tư chốt lời trên diện rộng, VN-Index mất gần 40 điểm với hàng loạt mã giảm sàn
577;__label__FIN#neutral;"Phân tích của công ty chứng khoán ""lệch sóng"" vì dòng tiền F0"
578;__label__FIN#negative;VEAM Corp: Chỉ tiêu lợi nhuận giảm 19% xuống còn 5.930 tỷ đồng, tiếp tục trình kế hoạch niêm yết
579;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 8/6
580;__label__FIN#negative;Yuanta: Nhóm ngân hàng và thép còn ít dư địa tăng trưởng, VN-Index điều chỉnh trong vùng 1.283 – 1.300 điểm
581;__label__FIN#negative;VN-Index “chao đảo”, nhiều CTCK khuyến nghị nhà đầu tư nên chốt lãi một phần cổ phiếu
582;__label__FIN#positive;Tập đoàn dầu khí Việt Nam (PVN): Thu về 15.300 tỷ lợi nhuận sau 5 tháng, tăng cao gấp 3 lần cùng kỳ năm 2020
583;__label__FIN#positive;Đất Xanh (DXG): Năm 2021 đặt chỉ tiêu lãi ròng 1.350 tỷ đồng và phát hành 207 triệu cổ phần
584;__label__FIN#neutral;G36, HNG, VIB, SHB, DLG, HCM, OPC, PGC, IMP, SPV, PAC, TIX, TDM, STV, MRF, PEC, VKC: Thông tin giao dịch lượng lớn cổ phiếu
585;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 10 doanh nghiệp
586;__label__FIN#positive;Nhiệt điện Hải Phòng (HND) chi tiếp 350 tỷ đồng trả cổ tức còn lại năm 2020
587;__label__FIN#neutral;Công đoàn Rạng Đông sẽ chi hàng trăm tỷ đồng mua cổ phiếu trong đợt phát hành tăng vốn kỷ lục của công ty?
588;__label__FIN#negative;Hoàng Anh Gia Lai tiếp tục thoái vốn tại HAGL Agrico (HNG)
589;__label__FIN#positive;Dat Xanh Services đẩy mạnh kênh bán hàng trực tuyến, vững vàng vượt thách thức
590;__label__FIN#positive;Cổ phiếu FLC được khối ngoại mua ròng 10 phiên liên tiếp
591;__label__FIN#positive;Dược phẩm OPC chuẩn bị trả cổ tức đợt 2/2020 bằng tiền mặt với tỷ lệ 20%
592;__label__FIN#positive;"Mirae Asset: ""Định giá hấp dẫn, VN-Index sẽ chinh phục ngưỡng 1.500 điểm trong năm 2021"""
593;__label__FIN#negative;Thị trường “hạ nhiệt”, khối ngoại tiếp tục bán ròng 650 tỷ đồng trong phiên 7/6
594;__label__FIN#neutral;Ông Nguyễn Duy Hưng: Đưa cảm xúc vào trong đầu tư là điều tai hại nhất
595;__label__FIN#positive;Hai cá nhân gom gần 3 triệu cổ phiếu, trở thành cổ đông lớn tại STV trước thời điểm hủy đăng ký giao dịch
596;__label__FIN#positive;Vận tải SAFI sắp chi trả cổ tức bằng tiền với tỷ lệ 15%
597;__label__FIN#positive;AGR triển khai gói 500 tỷ, lãi suất 7.1% và miễn phí giao dịch
598;__label__FIN#positive;Tổng Giám đốc Đường Quảng Ngãi (QNS) liên tục gom cổ phiếu
599;__label__FIN#positive;Bloomberg: Đà thăng hoa của Vn-Index sẽ vẫn tiếp tục trong phần còn lại của năm 2021 và hướng đến mốc 1.500 điểm
600;__label__FIN#neutral;Tăng thu nhập không giới hạn cùng MBS Mobile App
601;__label__FIN#negative;Tập đoàn Cao su muốn thoái vốn tại KCN Nam Tân Uyên (NTC)
602;__label__FIN#neutral;Cổ phiếu ngân hàng nào còn tiềm năng?
603;__label__FIN#negative;Cổ phiếu ngân hàng vẫn đỏ lửa cuối phiên, VnIndex mất 15 điểm
604;__label__FIN#positive;PNJ: Hoạt động bán lẻ đang tốt hơn kỳ vọng ban đầu, tăng trưởng doanh số của các cửa hàng hiện hữu tiếp tục ở mức cao cho đến hết quý 3/2021
605;__label__FIN#positive;FPT Shop nhảy vào mảng ‘bán sỉ’ laptop, điện thoại… đón đầu nhu cầu tăng cao giữa dịch Covid-19
606;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 7/6
607;__label__FIN#positive;"Cổ phiếu ngân hàng: ""Đắt xắt ra miếng"""
608;__label__FIN#neutral;VN-Index đang bước vào nhịp tăng nóng, nhà đầu tư có thể “canh” chốt lời?
609;__label__FIN#positive;"Novaland phát hành cổ phiếu thưởng và chia cổ tức lên tới 60%; NovaWorld Phan Thiet, Aqua City và NovaWorld Ho Tram có thể đem lại 2 tỷ USD lợi nhuận"
